-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.47,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.48,0.01,0.01
-1.47,0.01,0.01
-1.45,0.01,0.01
-1.41,0.01,0.01
-1.35,0.01,0.01
-1.29,0.01,0.01
-1.19,0.01,0.01
-1.10,0.01,0.01
-1.00,0.01,0.01
-0.86,0.01,0.01
-0.73,0.01,0.00
-0.58,0.01,0.00
-0.46,0.01,0.00
-0.31,0.01,0.00
-0.17,0.01,0.00
-0.02,0.01,0.00
0.12,0.01,0.00
0.25,0.01,0.00
0.39,0.01,0.00
0.52,0.01,0.00
0.65,0.01,0.00
0.78,0.01,0.00
0.93,0.01,0.00
1.06,0.01,0.00
1.23,0.01,0.00
1.41,0.01,0.00
1.61,0.01,0.00
1.81,0.01,0.00
2.01,0.01,0.00
2.21,0.01,0.00
2.42,0.01,0.00
2.62,0.01,0.00
2.82,0.01,0.00
3.02,0.01,0.00
3.18,0.01,0.00
3.39,0.01,0.00
3.61,0.01,0.00
3.84,0.01,-0.01
4.03,0.01,-0.01
4.27,0.01,-0.01
4.51,0.01,-0.01
4.71,0.01,-0.01
4.95,0.01,-0.01
5.19,0.01,-0.01
5.38,0.01,-0.01
5.61,0.01,-0.01
5.84,0.01,-0.01
6.04,0.01,-0.01
6.29,0.01,-0.01
6.49,0.01,-0.01
6.71,0.01,-0.01
6.96,0.01,-0.01
7.21,0.01,-0.01
7.47,0.01,-0.01
7.72,0.01,-0.01
7.97,0.01,-0.01
8.24,0.01,-0.01
8.50,0.01,-0.01
8.77,0.01,-0.01
9.00,0.01,-0.01
9.28,0.01,-0.02
9.56,0.01,-0.02
9.84,0.01,-0.02
10.12,0.01,-0.02
10.40,0.01,-0.02
10.67,0.01,-0.02
10.94,0.01,-0.02
11.20,0.01,-0.02
11.46,0.01,-0.02
11.66,0.01,-0.02
11.90,0.01,-0.02
12.13,0.01,-0.02
12.34,0.01,-0.02
12.55,0.01,-0.02
12.76,0.01,-0.02
12.95,0.01,-0.02
13.13,0.01,-0.02
13.30,0.01,-0.02
13.47,0.01,-0.02
13.60,0.01,-0.02
13.76,0.01,-0.02
13.90,0.01,-0.02
14.04,0.01,-0.02
14.17,0.01,-0.02
14.29,0.01,-0.02
14.41,0.01,-0.02
14.52,0.01,-0.02
14.63,0.01,-0.02
14.71,0.01,-0.02
14.81,0.01,-0.02
14.90,0.01,-0.02
14.97,0.01,-0.02
15.05,0.01,-0.02
15.12,0.01,-0.02
15.19,0.01,-0.02
15.26,0.01,-0.02
15.32,0.01,-0.02
15.38,0.01,-0.02
15.44,0.01,-0.02
15.48,0.01,-0.02
15.53,0.01,-0.02
15.57,0.01,-0.02
15.61,0.01,-0.02
15.65,0.01,-0.02
15.69,0.01,-0.02
15.71,0.01,-0.02
15.75,0.01,-0.02
15.77,0.01,-0.02
15.80,0.01,-0.02
15.84,0.01,-0.02
15.89,0.01,-0.01
15.94,0.01,-0.01
16.01,0.01,-0.01
16.09,0.01,0.00
16.19,0.01,0.00
16.30,0.01,0.00
16.43,0.01,0.01
16.56,0.01,0.01
16.71,0.01,0.01
16.91,0.01,0.01
17.13,0.01,0.01
17.35,0.01,0.01
17.59,0.01,0.01
17.90,0.01,0.01
18.25,0.01,0.01
18.63,0.01,0.01
18.97,0.01,0.01
