1666,191.24
drone\DronMovement\xVar,drone\DronMovement\yVar,drone\DronMovement\zVar
18.89,0.02,-0.10
18.95,0.02,-0.11
18.99,0.02,-0.11
19.02,0.02,-0.11
19.04,0.02,-0.11
19.05,0.02,-0.12
19.05,0.02,-0.12
19.04,0.02,-0.13
19.02,0.02,-0.13
19.01,0.02,-0.14
18.98,0.02,-0.14
18.95,0.02,-0.15
18.92,0.02,-0.15
18.88,0.02,-0.15
18.85,0.02,-0.16
18.81,0.02,-0.16
18.77,0.02,-0.16
18.74,0.02,-0.16
18.70,0.02,-0.16
18.67,0.02,-0.16
18.64,0.02,-0.16
18.61,0.02,-0.16
18.58,0.02,-0.16
18.56,0.02,-0.17
18.53,0.02,-0.17
18.50,0.02,-0.17
18.48,0.02,-0.17
18.45,0.02,-0.17
18.41,0.02,-0.18
18.38,0.02,-0.18
18.36,0.02,-0.19
18.35,0.02,-0.19
18.35,0.02,-0.19
18.38,0.02,-0.20
18.43,0.02,-0.20
18.51,0.02,-0.20
18.61,0.02,-0.21
18.75,0.02,-0.21
18.91,0.02,-0.21
19.11,0.02,-0.22
19.32,0.02,-0.22
19.51,0.02,-0.22
19.75,0.02,-0.22
19.95,0.02,-0.22
20.20,0.02,-0.22
20.41,0.02,-0.22
20.62,0.02,-0.23
20.85,0.02,-0.23
21.07,0.02,-0.22
21.26,0.02,-0.22
21.42,0.02,-0.22
21.55,0.02,-0.22
21.65,0.02,-0.22
21.71,0.02,-0.22
21.74,0.02,-0.22
21.73,0.02,-0.22
21.68,0.02,-0.21
21.59,0.02,-0.21
21.48,0.02,-0.21
21.34,0.02,-0.21
21.18,0.02,-0.21
21.01,0.02,-0.21
20.86,0.02,-0.21
20.70,0.02,-0.20
20.55,0.02,-0.20
20.36,0.02,-0.20
20.20,0.02,-0.20
20.02,0.02,-0.20
19.83,0.02,-0.20
19.68,0.02,-0.20
19.51,0.02,-0.20
19.33,0.02,-0.20
19.17,0.02,-0.20
18.98,0.02,-0.20
18.77,0.02,-0.20
18.54,0.02,-0.20
18.29,0.02,-0.20
18.08,0.02,-0.20
17.85,0.02,-0.20
17.62,0.02,-0.20
17.38,0.02,-0.20
17.09,0.02,-0.20
16.85,0.02,-0.20
16.61,0.02,-0.20
16.32,0.02,-0.21
16.09,0.02,-0.21
15.81,0.02,-0.21
15.54,0.02,-0.21
15.32,0.02,-0.21
15.07,0.02,-0.21
14.82,0.02,-0.21
14.57,0.02,-0.21
14.32,0.02,-0.21
14.06,0.02,-0.21
13.84,0.02,-0.20
13.57,0.02,-0.20
13.28,0.02,-0.20
12.98,0.02,-0.20
12.67,0.02,-0.20
12.36,0.02,-0.20
12.04,0.02,-0.19
11.73,0.02,-0.19
11.41,0.02,-0.19
11.10,0.02,-0.19
10.84,0.02,-0.19
10.53,0.02,-0.19
10.21,0.02,-0.19
9.88,0.02,-0.19
9.55,0.02,-0.19
9.22,0.02,-0.19
8.90,0.02,-0.19
8.63,0.02,-0.19
8.31,0.02,-0.19
8.05,0.02,-0.19
7.74,0.02,-0.19
7.43,0.02,-0.19
7.12,0.02,-0.19
6.81,0.02,-0.19
6.50,0.02,-0.19
6.18,0.02,-0.19
5.86,0.02,-0.19
5.53,0.02,-0.18
5.21,0.02,-0.18
4.88,0.02,-0.18
4.61,0.01,-0.18
4.29,0.01,-0.18
4.02,0.01,-0.18
3.71,0.01,-0.18
3.44,0.01,-0.18
3.18,0.01,-0.18
2.85,0.01,-0.18
2.52,0.01,-0.18
2.25,0.01,-0.18
1.97,0.01,-0.18
1.69,0.01,-0.18
1.37,0.01,-0.18
1.10,0.01,-0.18
0.78,0.01,-0.18
0.53,0.01,-0.18
0.23,0.01,-0.18
-0.06,0.01,-0.18
-0.30,0.01,-0.18
-0.57,0.01,-0.18
-0.79,0.01,-0.18
-1.01,0.01,-0.18
-1.23,0.01,-0.19
-1.44,0.01,-0.19
-1.69,0.01,-0.19
-1.93,0.01,-0.20
-2.17,0.01,-0.20
-2.41,0.01,-0.20
-2.60,0.01,-0.20
-2.79,0.01,-0.21
-3.01,0.01,-0.21
-3.18,0.01,-0.21
-3.36,0.01,-0.21
-3.56,0.01,-0.21
-3.75,0.01,-0.21
-3.93,0.01,-0.22
-4.11,0.01,-0.22
-4.26,0.01,-0.22
-4.42,0.01,-0.22
-4.59,0.01,-0.22
-4.75,0.01,-0.22
-4.90,0.01,-0.23
-5.04,0.01,-0.23
-5.18,0.01,-0.23
-5.32,0.01,-0.23
-5.45,0.01,-0.23
-5.57,0.01,-0.23
-5.67,0.01,-0.23
-5.78,0.01,-0.23
-5.87,0.01,-0.23
-5.96,0.01,-0.23
-6.05,0.01,-0.23
-6.12,0.01,-0.23
-6.20,0.01,-0.22
-6.26,0.01,-0.22
-6.30,0.01,-0.22
-6.34,0.01,-0.21
-6.35,0.01,-0.21
-6.35,0.01,-0.20
-6.34,0.01,-0.20
-6.30,0.01,-0.19
-6.26,0.01,-0.19
-6.19,0.01,-0.18
-6.11,0.01,-0.18
-6.03,0.01,-0.17
-5.95,0.01,-0.17
-5.89,0.01,-0.17
-5.83,0.01,-0.16
-5.78,0.01,-0.16
-5.75,0.01,-0.15
-5.73,0.01,-0.15
-5.72,0.01,-0.15
-5.72,0.01,-0.14
-5.72,0.01,-0.14
-5.74,0.01,-0.14
-5.75,0.01,-0.14
-5.77,0.01,-0.14
-5.80,0.01,-0.14
-5.83,0.01,-0.13
-5.85,0.01,-0.13
-5.88,0.01,-0.13
-5.89,0.01,-0.13
-5.91,0.01,-0.13
-5.91,0.01,-0.13
-5.91,0.01,-0.12
-5.91,0.01,-0.12
-5.89,0.01,-0.12
-5.86,0.01,-0.11
-5.81,0.01,-0.11
-5.74,0.01,-0.11
-5.67,0.01,-0.10
-5.57,0.01,-0.10
-5.47,0.01,-0.09
-5.36,0.01,-0.09
-5.24,0.01,-0.08
-5.14,0.01,-0.07
-5.06,0.01,-0.07
-4.99,0.01,-0.06
-4.94,0.01,-0.06
-4.89,0.01,-0.05
-4.86,0.01,-0.05
-4.84,0.01,-0.05
-4.83,0.01,-0.04
-4.84,0.01,-0.04
-4.85,0.01,-0.04
-4.87,0.01,-0.04
-4.89,0.01,-0.03
-4.92,0.01,-0.03
-4.95,0.01,-0.03
-4.98,0.01,-0.03
-5.01,0.01,-0.03
-5.05,0.01,-0.03
-5.08,0.01,-0.03
-5.11,0.01,-0.03
-5.14,0.01,-0.03
-5.18,0.01,-0.03
-5.20,0.01,-0.02
-5.22,0.01,-0.02
-5.23,0.01,-0.02
-5.22,0.01,-0.02
-5.20,0.01,-0.01
-5.17,0.01,-0.01
-5.12,0.01,0.00
-5.06,0.01,0.00
-4.99,0.01,0.00
-4.90,0.01,0.01
-4.79,0.01,0.01
-4.69,0.01,0.02
-4.59,0.01,0.02
-4.46,0.01,0.03
-4.35,0.01,0.03
-4.23,0.01,0.04
-4.13,0.01,0.04
-4.06,0.01,0.05
-4.00,0.01,0.05
-3.95,0.01,0.06
-3.92,0.01,0.06
-3.90,0.01,0.06
-3.89,0.01,0.07
-3.89,0.01,0.07
-3.90,0.01,0.07
-3.92,0.01,0.07
-3.95,0.01,0.07
-3.97,0.01,0.08
-4.00,0.01,0.08
-4.04,0.01,0.08
-4.07,0.01,0.08
-4.10,0.01,0.08
-4.14,0.01,0.08
-4.17,0.01,0.08
-4.20,0.01,0.08
-4.23,0.01,0.08
-4.25,0.01,0.09
-4.25,0.01,0.09
-4.25,0.01,0.09
-4.24,0.01,0.09
-4.21,0.01,0.10
-4.16,0.01,0.10
-4.11,0.01,0.10
-4.04,0.01,0.11
-3.97,0.01,0.11
-3.89,0.01,0.11
-3.81,0.01,0.11
-3.73,0.01,0.11
-3.66,0.01,0.12
-3.58,0.01,0.12
-3.52,0.01,0.12
-3.47,0.01,0.12
-3.44,0.01,0.12
-3.43,0.01,0.13
-3.45,0.01,0.13
-3.48,0.01,0.13
-3.53,0.01,0.13
-3.60,0.01,0.14
-3.68,0.01,0.14
-3.76,0.01,0.14
-3.85,0.01,0.14
-3.94,0.01,0.14
-4.03,0.01,0.14
-4.13,0.01,0.14
-4.21,0.01,0.14
-4.31,0.01,0.14
-4.39,0.01,0.14
-4.48,0.01,0.14
-4.56,0.01,0.13
-4.61,0.01,0.13
-4.65,0.01,0.13
-4.67,0.01,0.12
-4.66,0.01,0.12
-4.62,0.01,0.12
-4.55,0.01,0.11
-4.46,0.01,0.11
-4.33,0.01,0.11
-4.18,0.01,0.10
-4.02,0.01,0.10
-3.83,0.01,0.10
-3.68,0.01,0.10
-3.51,0.01,0.10
-3.31,0.01,0.10
-3.12,0.01,0.10
-2.92,0.01,0.09
-2.72,0.01,0.09
-2.53,0.01,0.09
-2.34,0.01,0.09
-2.16,0.01,0.09
-1.98,0.01,0.09
-1.80,0.01,0.09
-1.61,0.01,0.09
-1.41,0.01,0.09
-1.23,0.01,0.09
-0.99,0.01,0.09
-0.79,0.01,0.09
-0.58,0.01,0.09
-0.32,0.01,0.09
-0.06,0.01,0.09
0.20,0.01,0.09
0.46,0.01,0.09
0.71,0.01,0.09
0.96,0.01,0.09
1.21,0.01,0.09
1.46,0.01,0.09
1.72,0.01,0.09
1.98,0.01,0.09
2.25,0.01,0.09
2.54,0.01,0.09
2.83,0.01,0.09
3.12,0.01,0.08
3.42,0.01,0.08
3.71,0.01,0.08
4.00,0.01,0.08
4.29,0.01,0.08
4.58,0.01,0.08
4.86,0.01,0.08
5.14,0.01,0.08
5.41,0.01,0.08
5.68,0.01,0.08
5.93,0.01,0.08
6.18,0.01,0.08
6.41,0.01,0.08
6.60,0.01,0.08
6.79,0.01,0.08
7.00,0.01,0.08
7.16,0.01,0.08
7.36,0.01,0.08
7.51,0.01,0.08
7.66,0.01,0.08
7.84,0.01,0.08
8.02,0.01,0.08
8.21,0.01,0.08
8.38,0.01,0.09
8.56,0.01,0.09
8.79,0.01,0.09
9.00,0.01,0.09
9.28,0.01,0.10
9.57,0.01,0.10
9.90,0.01,0.11
10.19,0.01,0.11
10.56,0.01,0.11
10.97,0.01,0.11
11.41,0.01,0.12
11.87,0.01,0.12
12.37,0.01,0.12
12.90,0.01,0.12
13.45,0.01,0.12
14.02,0.01,0.11
14.62,0.01,0.11
15.24,0.01,0.11
15.87,0.01,0.10
16.40,0.01,0.10
17.06,0.01,0.09
17.60,0.01,0.09
18.27,0.01,0.08
18.94,0.01,0.07
19.61,0.01,0.06
20.17,0.01,0.06
20.84,0.01,0.05
21.51,0.01,0.04
22.19,0.01,0.03
22.86,0.01,0.02
23.53,0.01,0.01
24.08,0.01,0.00
24.75,0.01,0.00
25.30,0.01,-0.01
25.96,0.01,-0.02
26.60,0.01,-0.03
27.23,0.01,-0.04
27.84,0.01,-0.05
28.43,0.01,-0.06
28.90,0.01,-0.07
29.45,0.01,-0.07
29.96,0.01,-0.08
30.43,0.01,-0.09
30.87,0.01,-0.10
31.25,0.01,-0.11
31.54,0.01,-0.12
31.84,0.01,-0.12
32.09,0.01,-0.13
32.26,0.01,-0.14
32.42,0.01,-0.15
32.52,0.01,-0.15
32.59,0.01,-0.16
32.61,0.01,-0.17
32.60,0.01,-0.18
32.55,0.01,-0.18
32.45,0.01,-0.19
32.30,0.01,-0.20
32.12,0.01,-0.20
31.89,0.01,-0.21
31.61,0.01,-0.21
31.29,0.01,-0.22
31.00,0.01,-0.22
30.61,0.01,-0.22
30.25,0.01,-0.22
29.79,0.01,-0.23
29.29,0.01,-0.23
28.76,0.01,-0.22
28.29,0.01,-0.22
27.81,0.01,-0.22
27.19,0.01,-0.22
26.56,0.01,-0.22
25.89,0.01,-0.21
25.21,0.01,-0.21
24.62,0.01,-0.21
24.02,0.01,-0.20
23.28,0.01,-0.20
22.52,0.01,-0.19
21.75,0.01,-0.19
20.96,0.01,-0.18
20.16,0.01,-0.18
19.48,0.01,-0.17
18.66,0.01,-0.17
17.82,0.01,-0.16
16.97,0.01,-0.16
16.12,0.01,-0.15
15.27,0.01,-0.15
14.43,0.01,-0.14
13.59,0.01,-0.13
12.77,0.01,-0.13
11.97,0.01,-0.12
11.20,0.01,-0.11
10.58,0.01,-0.11
9.87,0.01,-0.10
9.21,0.01,-0.09
8.69,0.01,-0.09
8.21,0.01,-0.08
7.68,0.02,-0.08
7.20,0.02,-0.07
6.77,0.02,-0.07
6.40,0.02,-0.07
6.07,0.02,-0.06
5.78,0.02,-0.06
5.52,0.02,-0.06
5.29,0.02,-0.06
5.09,0.02,-0.05
4.90,0.02,-0.05
4.73,0.02,-0.05
4.58,0.02,-0.05
4.45,0.02,-0.05
4.32,0.02,-0.05
4.20,0.02,-0.05
4.10,0.02,-0.05
4.00,0.02,-0.04
3.89,0.02,-0.04
3.78,0.02,-0.04
3.70,0.02,-0.03
3.59,0.02,-0.03
3.50,0.02,-0.03
3.40,0.02,-0.02
3.29,0.02,-0.02
3.18,0.02,-0.01
3.09,0.02,-0.01
2.98,0.02,-0.01
2.89,0.02,0.00
2.81,0.02,0.00
2.72,0.02,0.00
2.62,0.02,0.00
2.52,0.02,0.00
2.42,0.02,0.00
2.35,0.02,0.01
2.25,0.02,0.01
2.18,0.02,0.01
2.09,0.02,0.01
2.00,0.02,0.02
1.93,0.02,0.02
1.87,0.02,0.02
1.79,0.02,0.02
1.71,0.02,0.03
1.63,0.02,0.03
1.57,0.02,0.03
1.50,0.02,0.03
1.45,0.02,0.03
1.39,0.02,0.04
1.35,0.02,0.04
1.31,0.02,0.04
1.27,0.02,0.04
1.23,0.02,0.04
1.21,0.02,0.04
1.17,0.02,0.04
1.14,0.02,0.04
1.12,0.02,0.04
1.09,0.02,0.04
1.07,0.02,0.04
1.04,0.02,0.04
1.02,0.02,0.04
1.00,0.02,0.04
0.98,0.02,0.04
0.96,0.02,0.04
0.94,0.02,0.04
0.93,0.02,0.04
0.92,0.02,0.04
0.91,0.02,0.04
0.91,0.02,0.03
0.91,0.02,0.03
0.92,0.02,0.02
0.94,0.02,0.02
0.96,0.02,0.02
0.99,0.02,0.01
1.02,0.02,0.01
1.05,0.02,0.01
1.08,0.02,0.00
1.12,0.02,0.00
1.15,0.02,0.00
1.19,0.02,0.00
1.23,0.02,-0.01
1.27,0.02,-0.01
1.31,0.02,-0.01
1.36,0.02,-0.01
1.41,0.02,-0.02
1.46,0.02,-0.02
1.52,0.02,-0.03
1.58,0.02,-0.03
1.63,0.02,-0.03
1.68,0.02,-0.03
1.74,0.02,-0.04
1.80,0.02,-0.04
1.86,0.02,-0.04
1.93,0.02,-0.05
1.99,0.02,-0.05
2.06,0.02,-0.05
2.12,0.02,-0.06
2.19,0.02,-0.06
2.25,0.02,-0.06
2.32,0.02,-0.07
2.39,0.02,-0.07
2.44,0.02,-0.07
2.50,0.02,-0.07
2.55,0.02,-0.07
2.60,0.02,-0.08
2.63,0.02,-0.08
2.67,0.02,-0.08
2.69,0.02,-0.08
2.72,0.02,-0.08
2.74,0.02,-0.08
2.76,0.02,-0.08
2.77,0.02,-0.08
2.79,0.02,-0.09
2.80,0.02,-0.09
2.81,0.02,-0.09
2.82,0.02,-0.10
2.84,0.02,-0.10
2.85,0.02,-0.10
2.86,0.02,-0.10
2.87,0.02,-0.10
2.88,0.02,-0.10
2.89,0.02,-0.11
2.90,0.02,-0.11
2.90,0.02,-0.11
2.91,0.02,-0.11
2.92,0.02,-0.11
2.93,0.02,-0.11
2.93,0.02,-0.11
2.94,0.02,-0.11
2.94,0.02,-0.11
2.95,0.02,-0.11
2.96,0.02,-0.11
2.96,0.02,-0.11
2.98,0.02,-0.11
3.01,0.02,-0.11
3.06,0.02,-0.11
3.13,0.02,-0.11
3.22,0.02,-0.11
3.32,0.02,-0.11
3.43,0.02,-0.11
3.53,0.02,-0.11
3.66,0.02,-0.11
