1135,131.27
drone\DronMovement\xVar,drone\DronMovement\yVar,drone\DronMovement\zVar
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.63,0.05,0.01
-1.62,0.05,0.01
-1.59,0.05,0.01
-1.55,0.05,0.01
-1.48,0.05,0.01
-1.40,0.05,0.01
-1.29,0.05,0.01
-1.17,0.05,0.01
-1.04,0.05,0.00
-0.90,0.05,0.00
-0.77,0.05,0.00
-0.62,0.05,0.00
-0.47,0.05,0.00
-0.32,0.05,0.00
-0.17,0.05,0.00
-0.01,0.05,0.00
0.15,0.05,0.00
0.32,0.05,0.00
0.49,0.05,0.00
0.68,0.05,0.00
0.88,0.05,0.00
1.09,0.05,0.00
1.31,0.05,-0.01
1.49,0.05,-0.01
1.67,0.05,-0.01
1.89,0.05,-0.01
2.10,0.05,-0.01
2.32,0.05,-0.01
2.49,0.05,-0.01
2.71,0.05,-0.01
2.89,0.05,-0.01
3.12,0.05,-0.01
3.35,0.05,-0.01
3.59,0.05,-0.01
3.84,0.05,-0.01
4.08,0.05,-0.01
4.33,0.05,-0.01
4.57,0.05,-0.01
4.81,0.05,-0.01
5.05,0.05,-0.01
5.30,0.05,-0.02
5.56,0.05,-0.02
5.82,0.05,-0.02
6.09,0.05,-0.02
6.36,0.05,-0.02
6.63,0.05,-0.02
6.89,0.05,-0.02
7.11,0.05,-0.02
7.37,0.05,-0.02
7.62,0.05,-0.02
7.86,0.05,-0.02
8.09,0.05,-0.02
8.32,0.05,-0.02
8.54,0.05,-0.02
8.74,0.05,-0.02
8.91,0.05,-0.02
9.07,0.05,-0.02
9.26,0.05,-0.02
9.43,0.05,-0.02
9.60,0.05,-0.02
9.73,0.05,-0.02
9.86,0.05,-0.02
10.01,0.05,-0.02
10.12,0.05,-0.02
10.23,0.05,-0.02
10.36,0.05,-0.02
10.46,0.05,-0.02
10.58,0.05,-0.02
10.68,0.05,-0.02
10.79,0.05,-0.02
10.88,0.05,-0.02
10.97,0.05,-0.02
11.06,0.05,-0.02
11.12,0.05,-0.02
11.19,0.05,-0.02
11.26,0.05,-0.03
11.32,0.05,-0.03
11.39,0.05,-0.03
11.45,0.05,-0.03
11.50,0.05,-0.02
11.55,0.05,-0.02
11.60,0.05,-0.02
11.65,0.05,-0.02
11.69,0.05,-0.01
11.75,0.05,-0.01
11.80,0.05,-0.01
11.86,0.05,0.00
11.92,0.05,0.00
12.00,0.05,0.01
12.10,0.05,0.01
12.21,0.05,0.02
12.34,0.05,0.02
12.48,0.05,0.02
12.65,0.05,0.02
12.84,0.05,0.03
13.06,0.05,0.03
13.31,0.05,0.02
13.58,0.05,0.02
13.88,0.05,0.02
14.21,0.05,0.02
14.57,0.05,0.01
14.95,0.05,0.01
15.36,0.05,0.00
15.80,0.05,0.00
16.18,0.05,-0.01
16.66,0.05,-0.01
17.17,0.05,-0.02
17.69,0.05,-0.02
18.15,0.05,-0.03
18.71,0.05,-0.03
19.29,0.05,-0.04
19.90,0.05,-0.05
20.52,0.05,-0.05
21.04,0.04,-0.06
21.58,0.04,-0.06
22.25,0.04,-0.07
22.92,0.04,-0.08
23.61,0.04,-0.08
24.31,0.04,-0.09
25.03,0.04,-0.10
25.76,0.04,-0.10
26.49,0.04,-0.11
27.23,0.04,-0.12
27.97,0.04,-0.12
28.59,0.04,-0.13
29.32,0.04,-0.14
30.04,0.04,-0.14
30.74,0.04,-0.15
31.43,0.04,-0.16
32.08,0.04,-0.17
32.71,0.04,-0.18
33.30,0.04,-0.19
33.86,0.04,-0.20
34.38,0.04,-0.21
34.86,0.04,-0.22
35.23,0.04,-0.23
35.57,0.04,-0.23
35.94,0.04,-0.24
36.23,0.04,-0.25
36.53,0.04,-0.26
36.80,0.04,-0.27
37.03,0.04,-0.28
37.23,0.04,-0.30
37.39,0.04,-0.31
37.53,0.04,-0.32
37.63,0.04,-0.33
37.68,0.04,-0.33
37.72,0.04,-0.34
37.72,0.04,-0.35
37.68,0.04,-0.36
37.61,0.04,-0.37
37.49,0.04,-0.38
37.33,0.04,-0.39
37.17,0.04,-0.39
36.94,0.04,-0.40
36.66,0.04,-0.40
36.34,0.04,-0.40
35.99,0.04,-0.41
35.66,0.04,-0.41
35.23,0.04,-0.41
34.77,0.04,-0.41
34.27,0.04,-0.41
33.74,0.04,-0.40
33.17,0.04,-0.40
32.58,0.04,-0.40
31.96,0.04,-0.40
31.31,0.04,-0.39
30.64,0.04,-0.39
29.94,0.04,-0.39
29.23,0.04,-0.38
28.49,0.04,-0.38
27.73,0.04,-0.37
26.95,0.04,-0.37
26.16,0.04,-0.37
25.35,0.04,-0.36
24.52,0.04,-0.36
23.83,0.04,-0.35
23.12,0.04,-0.35
22.27,0.04,-0.34
21.40,0.04,-0.34
20.52,0.04,-0.33
19.63,0.04,-0.33
18.89,0.04,-0.32
17.99,0.04,-0.31
17.09,0.04,-0.31
16.20,0.04,-0.30
15.31,0.04,-0.30
14.44,0.04,-0.29
13.58,0.04,-0.28
12.74,0.04,-0.28
12.06,0.04,-0.27
11.25,0.04,-0.27
10.47,0.04,-0.26
